cpu_socket,mb_socket,ram_type,mb_ram_type,cpu_tdp_w,gpu_tdp_w,psu_wattage,gpu_length_mm,case_form_factor,mb_form_factor,compatible
AM4,AM4,DDR5,DDR4,74,336,550,196,Micro-ATX,Mini-ITX,0
LGA1700,LGA1200,DDR4,DDR4,153,243,750,246,ATX,Mini-ITX,0
LGA1200,LGA1700,DDR5,DDR5,111,109,750,339,ATX,Mini-ITX,0
LGA1200,LGA1200,DDR5,DDR4,102,100,1000,260,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,117,91,750,207,Mini-ITX,Mini-ITX,1
LGA1200,LGA1700,DDR4,DDR4,99,103,650,323,ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,124,326,1000,258,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR4,DDR5,149,390,650,341,ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,85,373,850,320,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,68,127,550,200,Micro-ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR4,131,287,750,196,Micro-ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,168,155,550,253,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,89,419,550,258,Micro-ATX,ATX,0
LGA1700,LGA1200,DDR4,DDR4,134,231,850,237,ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,138,248,850,209,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,80,137,650,222,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,74,202,1000,245,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,92,343,850,260,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,138,150,850,235,Mini-ITX,Micro-ATX,0
LGA1700,AM4,DDR4,DDR4,140,323,650,235,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,73,370,450,212,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,83,295,850,210,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,126,185,450,207,Mini-ITX,Micro-ATX,0
AM5,AM4,DDR4,DDR4,73,326,650,259,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,93,279,750,332,Micro-ATX,ATX,0
